layer_1,,
42.25,92.3,85.3
25.35,92.3,85.3
8.45,92.3,85.3
42.25,107.7,85.3
25.35,107.7,85.3
8.45,107.7,85.3
42.25,123.1,85.3
25.35,123.1,85.3
8.45,123.1,85.3
layer_2,,
42.25,100.0,100.0
25.35,100.0,100.0
8.45,100.0,100.0
42.25,115.4,100.0
25.35,115.4,100.0
8.45,115.4,100.0
42.25,130.8,100.0
25.35,130.8,100.0
8.45,130.8,100.0
layer_3,,
33.8,100.0,114.7
16.9,100.0,114.7
0.0,100.0,114.7
33.8,115.4,114.7
16.9,115.4,114.7
0.0,115.4,114.7
33.8,130.8,114.7
16.9,130.8,114.7
0.0,130.8,114.7
layer_4,,
0.15,7.7,0.0
0.15,23.1,0.0
layer_5,,
0.15,0.0,14.7
0.15,15.4,14.7
0.15,30.8,14.7
